ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;INVENTORY_OPENING_BALANCE;UNIT
.1~10729;10729;F5;05;03;05/03;12/02/2021 00:00;9;43;03;FF-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~10837;10837;F5;05;07;05/07;16/02/2021 00:00;10;47;03S;FF-T01;Milk;Trading Goods;T01;;Milk;329;ST
.1~10849;10849;F5;05;08;05/08;17/02/2021 00:00;10;48;03;FF-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~10684;10684;F5;05;01;05/01;10/02/2021 00:00;9;41;03;FF-T04;Cheese;Trading Goods;T04;;Cheese;221;ST
.1~10392;10392;F5;03;08;03/08;28/01/2021 00:00;6;28;03W;FF-T06;Ice Cream;Trading Goods;T06;;Ice Cream;50;ST
.1~10459;10459;F5;04;01;04/01;31/01/2021 00:00;7;31;03W;FF-T01;Milk;Trading Goods;T01;;Milk;0;ST
.1~10530;10530;F5;04;04;04/04;03/02/2021 00:00;7;34;03S;FF-T06;Ice Cream;Trading Goods;T06;;Ice Cream;71;ST
.1~10276;10276;F5;03;04;03/04;24/01/2021 00:00;5;24;03;FF-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~10150;10150;F5;02;08;02/08;18/01/2021 00:00;4;18;03W;FF-T04;Cheese;Trading Goods;T04;;Cheese;0;ST
.1~9981;9981;F5;02;01;02/01;11/01/2021 00:00;3;11;03W;FF-T03;Yoghurt;Trading Goods;T03;;Yoghurt;251;ST
.1~10028;10028;F5;02;03;02/03;13/01/2021 00:00;3;13;03W;FF-T02;Cream;Trading Goods;T02;;Cream;173;ST
.1~13475;13475;G5;08;06;08/06;17/03/2021 00:00;16;76;03N;GG-T05;Butter;Trading Goods;T05;;Butter;300;ST
.1~13547;13547;G5;08;09;08/09;20/03/2021 00:00;16;79;03N;GG-T05;Butter;Trading Goods;T05;;Butter;0;ST
.1~12811;12811;G5;05;08;05/08;17/02/2021 00:00;10;48;03W;GG-T01;Milk;Trading Goods;T01;;Milk;200;ST
.1~12911;12911;G5;06;02;06/02;21/02/2021 00:00;11;52;03W;GG-T05;Butter;Trading Goods;T05;;Butter;131;ST
.1~12691;12691;G5;05;03;05/03;12/02/2021 00:00;9;43;03W;GG-T01;Milk;Trading Goods;T01;;Milk;200;ST
.1~12738;12738;G5;05;05;05/05;14/02/2021 00:00;9;45;03S;GG-T06;Ice Cream;Trading Goods;T06;;Ice Cream;23;ST
.1~12485;12485;G5;04;05;04/05;04/02/2021 00:00;7;35;03;GG-T05;Butter;Trading Goods;T05;;Butter;287;ST
.1~12579;12579;G5;04;09;04/09;08/02/2021 00:00;8;39;03;GG-T03;Yoghurt;Trading Goods;T03;;Yoghurt;1651;ST
.1~12593;12593;G5;04;09;04/09;08/02/2021 00:00;8;39;03S;GG-T05;Butter;Trading Goods;T05;;Butter;64;ST
