ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~4075;4075;F5;05;02;05/02;11/02/2021 00:00;9;42;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;50243,14;50243,14;-50243,14;0.00;-50243.14;EUR
.1~4078;4078;F5;05;02;05/02;11/02/2021 00:00;9;42;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;52030,3;-52030,3;52030,3;0.00;52030.30;EUR
.1~4079;4079;F5;05;03;05/03;12/02/2021 00:00;9;43;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;40675,77;-40675,77;40675,77;-40675.77;0.00;EUR
.1~4080;4080;F5;05;03;05/03;12/02/2021 00:00;9;43;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;23683,3;23683,3;-23683,3;23683.30;0.00;EUR
.1~4083;4083;F5;05;03;05/03;12/02/2021 00:00;9;43;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;40666,77;40666,77;-40666,77;40666.77;0.00;EUR
.1~4085;4085;F5;05;03;05/03;12/02/2021 00:00;9;43;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;9;9;-9;0.00;-9.00;EUR
.1~4086;4086;F5;05;03;05/03;12/02/2021 00:00;9;43;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;9321,71;-9321,71;9321,71;-9321.71;0.00;EUR
.1~4087;4087;F5;05;03;05/03;12/02/2021 00:00;9;43;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;10357,7;-10357,7;10357,7;0.00;10357.70;EUR
.1~4089;4089;F5;05;04;05/04;13/02/2021 00:00;9;44;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;36423,2;36423,2;-36423,2;36423.20;0.00;EUR
.1~4090;4090;F5;05;04;05/04;13/02/2021 00:00;9;44;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;36423,2;-36423,2;36423,2;-36423.20;0.00;EUR
.1~4098;4098;F5;05;05;05/05;14/02/2021 00:00;9;45;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;19187,6;-19187,6;19187,6;-19187.60;0.00;EUR
.1~4099;4099;F5;05;05;05/05;14/02/2021 00:00;9;45;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;5301,9;5301,9;-5301,9;5301.90;0.00;EUR
.1~4108;4108;F5;05;06;05/06;15/02/2021 00:00;10;46;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;52030,3;-52030,3;52030,3;-52030.30;0.00;EUR
