ID;ROW_NUMBER;SALES_ORGANIZATION;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;DISTRIBUTION_CHANNEL;DC_NAME;PRICE;CURRENCY
.1~1;1;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T01;Milk;16;Retailers;27,78;EUR
.1~2;2;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T02;Cream;16;Retailers;87,76;EUR
.1~3;3;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T03;Yoghurt;16;Retailers;31,27;EUR
.1~4;4;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T04;Cheese;16;Retailers;100,05;EUR
.1~5;5;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T05;Butter;16;Retailers;72,46;EUR
.1~6;6;A9;01;01;01/01;01/01/2021 00:00;1;1;AA-T06;Ice Cream;16;Retailers;52,22;EUR
.1~7;7;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T01;Milk;16;Retailers;27,78;EUR
.1~8;8;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T02;Cream;16;Retailers;87,76;EUR
.1~9;9;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T03;Yoghurt;16;Retailers;31,27;EUR
.1~10;10;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T04;Cheese;16;Retailers;100,05;EUR
.1~11;11;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T05;Butter;16;Retailers;72,46;EUR
.1~12;12;A9;01;02;01/02;02/01/2021 00:00;1;2;AA-T06;Ice Cream;16;Retailers;52,22;EUR
.1~13;13;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T01;Milk;16;Retailers;27,78;EUR
.1~14;14;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T02;Cream;16;Retailers;87,76;EUR
.1~15;15;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T03;Yoghurt;16;Retailers;31,27;EUR
.1~16;16;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T04;Cheese;16;Retailers;100,05;EUR
.1~17;17;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T05;Butter;16;Retailers;72,46;EUR
.1~18;18;A9;01;03;01/03;03/01/2021 00:00;1;3;AA-T06;Ice Cream;16;Retailers;52,22;EUR
.1~19;19;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T01;Milk;16;Retailers;27,78;EUR
.1~20;20;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T02;Cream;16;Retailers;87,76;EUR
.1~21;21;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T03;Yoghurt;16;Retailers;31,27;EUR
.1~22;22;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T04;Cheese;16;Retailers;100,05;EUR
.1~23;23;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T05;Butter;16;Retailers;72,46;EUR
.1~24;24;A9;01;04;01/04;04/01/2021 00:00;1;4;AA-T06;Ice Cream;16;Retailers;52,22;EUR
.1~25;25;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T01;Milk;16;Retailers;30,56;EUR
.1~26;26;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T02;Cream;16;Retailers;96,54;EUR
.1~27;27;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T03;Yoghurt;16;Retailers;34,4;EUR
.1~28;28;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T04;Cheese;16;Retailers;110,06;EUR
.1~29;29;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T05;Butter;16;Retailers;79,71;EUR
.1~30;30;A9;01;05;01/05;05/01/2021 00:00;1;5;AA-T06;Ice Cream;16;Retailers;57,44;EUR
.1~67;67;B9;01;01;01/01;01/01/2021 00:00;1;1;BB-T01;Milk;16;Retailers;27,02;EUR
.1~68;68;B9;01;01;01/01;01/01/2021 00:00;1;1;BB-T02;Cream;16;Retailers;85,36;EUR
.1~69;69;B9;01;01;01/01;01/01/2021 00:00;1;1;BB-T03;Yoghurt;16;Retailers;30,42;EUR
.1~70;70;B9;01;01;01/01;01/01/2021 00:00;1;1;BB-T04;Cheese;16;Retailers;97,32;EUR
