ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;UNIT;QUANTITY
.1~1;1;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T01;Milk;Trading Goods;T01;;Milk;ST;150
.1~130;130;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;215
.1~129;129;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;215
.1~8;8;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~7;7;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~9;9;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;120
.1~192;192;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;230
.1~191;191;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;230
.1~190;190;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;230
.1~87;87;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;200
.1~86;86;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;200
.1~85;85;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;200
.1~128;128;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T03;Yoghurt;Trading Goods;T03;;Yoghurt;ST;215
.1~136;136;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T05;Butter;Trading Goods;T05;;Butter;ST;120
.1~134;134;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T05;Butter;Trading Goods;T05;;Butter;ST;120
.1~135;135;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T05;Butter;Trading Goods;T05;;Butter;ST;120
.1~93;93;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T05;Butter;Trading Goods;T05;;Butter;ST;50
.1~196;196;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T05;Butter;Trading Goods;T05;;Butter;ST;130
.1~197;197;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T05;Butter;Trading Goods;T05;;Butter;ST;130
.1~198;198;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T05;Butter;Trading Goods;T05;;Butter;ST;130
.1~15;15;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~14;14;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~13;13;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T05;Butter;Trading Goods;T05;;Butter;ST;70
.1~92;92;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T05;Butter;Trading Goods;T05;;Butter;ST;100
.1~91;91;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T05;Butter;Trading Goods;T05;;Butter;ST;180
.1~193;193;D9;01;01;01/01;01/01/2021 00:00;1;1;03W;DD-T04;Cheese;Trading Goods;T04;;Cheese;ST;110
.1~194;194;D9;01;01;01/01;01/01/2021 00:00;1;1;03N;DD-T04;Cheese;Trading Goods;T04;;Cheese;ST;110
.1~195;195;D9;01;01;01/01;01/01/2021 00:00;1;1;03S;DD-T04;Cheese;Trading Goods;T04;;Cheese;ST;110
.1~12;12;A9;01;01;01/01;01/01/2021 00:00;1;1;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;ST;50
.1~11;11;A9;01;01;01/01;01/01/2021 00:00;1;1;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;ST;50
.1~10;10;A9;01;01;01/01;01/01/2021 00:00;1;1;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;ST;50
.1~90;90;B9;01;01;01/01;01/01/2021 00:00;1;1;03S;BB-T04;Cheese;Trading Goods;T04;;Cheese;ST;75
.1~89;89;B9;01;01;01/01;01/01/2021 00:00;1;1;03N;BB-T04;Cheese;Trading Goods;T04;;Cheese;ST;75
.1~88;88;B9;01;01;01/01;01/01/2021 00:00;1;1;03W;BB-T04;Cheese;Trading Goods;T04;;Cheese;ST;200
.1~131;131;C9;01;01;01/01;01/01/2021 00:00;1;1;03N;CC-T04;Cheese;Trading Goods;T04;;Cheese;ST;105
.1~132;132;C9;01;01;01/01;01/01/2021 00:00;1;1;03S;CC-T04;Cheese;Trading Goods;T04;;Cheese;ST;105
.1~133;133;C9;01;01;01/01;01/01/2021 00:00;1;1;03W;CC-T04;Cheese;Trading Goods;T04;;Cheese;ST;105
.1~100;100;B9;01;04;01/04;04/01/2021 00:00;1;4;03N;BB-T02;Cream;Trading Goods;T02;;Cream;ST;22
.1~171;171;C9;01;10;01/10;10/01/2021 00:00;2;10;03W;CC-T02;Cream;Trading Goods;T02;;Cream;ST;100
.1~170;170;C9;01;10;01/10;10/01/2021 00:00;2;10;03N;CC-T02;Cream;Trading Goods;T02;;Cream;ST;100
